"age" "edu1" "edu2" "edu3" "leisure.1" "leisure.2" "leisure.3" "mar1" "mar2" "mar3" "sex" "income.1" "income.2" "income.3" "lifesatisfaction.1" "lifesatisfaction.2" "lifesatisfaction.3"
46 0 0 0 12 3 8 0 0 0 1 23.0536328125003 34.1977656250004 33.9924726562489 2 2 2
49 1 0 0 8 9 5 1 0 0 1 26.4991425781248 26.0318085937512 24.7092382812495 3 3 2
44 1 0 0 11 12 6 1 0 0 0 28.2859960937505 28.2171835937493 28.8215390625012 3 3 2
44 1 0 0 9 10 10 1 0 0 1 14.0081845703124 26.5298984374996 9.89953808593748 2 3 2
42 1 0 0 5 5 4 0 0 1 1 15.6 21.646154296875 0.986666625976567 2 2 2
47 0 1 0 6 7 3 1 0 0 0 14.661265625 13.298435546875 14.0044296874999 3 2 2
47 1 0 0 6 5 3 1 0 0 1 54.5284062500002 59.4428398437507 62.7254062500008 2 2 2
34 0 1 0 10 10 3 1 0 0 1 13.4970625000001 19.0521972656251 15.6592802734374 2 2 2
47 0 1 0 7 7 6 1 0 0 0 20.67342578125 7.33674511718751 17.85532421875 3 2 3
65 1 0 0 6 2 6 1 0 0 0 45.3814414062515 19.122873046875 18.1582246093751 3 3 2
51 1 0 0 5 8 9 0 0 1 1 14.9 13.3000000000001 17.4 1 2 2
52 0 0 0 12 12 6 0 1 0 1 52.2474999999997 54.7499999999974 127.991156249996 2 3 3
50 0 0 0 6 6 4 0 1 0 0 27.5004218750005 1.93159692382812 13.34943359375 2 2 2
40 1 0 0 9 8 9 1 0 0 0 4.48254101562499 4.23628613281251 3.73036694335936 3 3 3
48 0 1 0 3 3 6 0 0 1 0 17.071978515625 24.3021171874997 28.1901210937496 3 2 2
47 1 0 0 2 12 9 1 0 0 1 59.6698359374993 61.5132734375015 64.3370664062523 3 1 1
42 1 0 0 5 5 7 1 0 0 0 5.05000000000003 11.567220703125 22.3187753906244 2 2 2
27 0 1 0 7 6 9 1 0 0 1 25.9961562500011 28.6545664062498 30.5769179687492 2 3 3
21 0 1 0 9 7 7 1 0 0 1 10.6479169921875 12.2484287109375 17.480021484375 2 2 2
45 0 1 0 8 6 6 1 0 0 1 24.7469980468743 26.5183828124991 22.6133671875002 3 2 2
66 0 0 0 4 1 3 0 1 0 0 7.800599609375 7.52161669921878 7.68890478515625 1 2 2
33 0 0 0 4 8 9 1 0 0 0 11.98510546875 5.95586816406247 12.4919521484375 2 2 2
57 0 1 0 1 3 1 1 0 0 1 4.62443994140627 3.84503979492188 4.41660009765626 3 2 2
56 0 0 0 6 1 3 1 0 0 0 5.74158007812501 5.89745996093749 6.15726025390623 3 3 3
25 0 0 0 4 6 8 1 0 0 0 22.2266367187491 24.5588925781238 26.960740234376 2 2 2
23 0 0 0 2 6 9 1 0 0 0 13.234642578125 14.4411083984375 16.8129335937499 2 2 3
44 1 0 0 2 3 2 1 0 0 1 16.2894589843749 16.497298828125 23.563599609374 3 3 3
41 1 0 0 5 3 4 1 0 0 0 25.1499980468741 26.7744941406245 28.161662109376 3 2 2
33 0 1 0 9 12 9 1 0 0 1 32.4969999999999 36.5997695312482 43.533257812501 3 2 2
67 0 1 0 9 5 12 1 0 0 1 11.9043515625 15.93826171875 8.46097460937496 3 2 2
40 1 0 0 7 6 8 1 0 0 0 27.7352890625009 23.9285957031253 36.6984570312497 3 3 3
38 0 1 0 8 8 10 1 0 0 1 34.0876445312503 35.4747109374985 37.135218749999 2 3 2
19 0 0 0 5 6 4 0 0 1 0 13.36027734375 12.04223046875 9.12566601562504 2 3 2
35 1 0 0 7 12 3 0 0 1 0 27.5011562499994 28.8221718750014 31.3106249999998 3 3 3
37 0 1 0 10 6 8 0 0 1 0 32.0496210937488 36.3978007812515 41.4388359374987 2 3 2
30 0 0 0 6 4 5 0 0 1 1 11.168591796875 12.369515625 7.94988037109378 2 2 2
59 0 0 0 3 3 4 1 0 0 1 20.3069296875 18.0069296875 23.2972460937497 2 2 2
57 0 1 0 1 3 9 1 0 0 0 21.1597949218751 21.016166015625 20.8573906249999 3 3 3
27 1 0 0 12 11 10 0 0 1 1 1.97142858886719 20.5601816406249 21.30769140625 2 2 2
25 1 0 0 4 3 7 0 0 1 0 12.715572265625 10.9037236328125 13.2461894531251 2 2 2
64 0 0 0 8 8 9 1 0 0 1 7.49999999999999 7.13650976562502 12.3716220703125 3 3 3
73 0 0 1 2 2 1 1 0 0 0 2.00212658691406 5.62756298828124 2.51721166992187 3 3 3
41 0 1 0 4 5 5 0 1 0 0 12.5453388671875 18.9884570312499 19.2203515625 2 2 1
42 0 1 0 10 6 9 1 0 0 0 37.8891132812489 37.7137656249984 40.7059648437481 3 2 2
69 0 1 0 3 5 2 0 0 0 1 14.2583408203125 15.85112109375 14.5071210937499 3 3 3
42 1 0 0 5 9 4 0 0 1 0 17.3201992187499 16.2332919921874 15.1631640625 2 2 2
47 0 0 0 12 3 12 1 0 0 0 1.95 29.3500019531239 40.300000000001 2 2 2
22 0 0 0 6 5 8 0 0 1 0 12.4595625 14.94760546875 20.9828105468749 2 2 2
38 1 0 0 11 5 7 1 0 0 1 37.7364999999993 44.0599999999985 42.554050781252 3 3 3
37 0 1 0 4 4 6 1 0 0 0 22.8836035156256 22.0489609375001 22.8295624999999 3 3 3
36 1 0 0 3 2 8 1 0 0 0 17.0894765625 16.4445859375 17.2381796874999 3 2 2
71 0 0 1 5 9 5 1 0 0 1 22.1270507812504 22.1534687500009 20.11280859375 3 3 3
70 0 0 1 3 2 3 1 0 0 0 7.04965332031247 10.5275625 5.75759570312502 3 2 3
35 1 0 0 2 2 3 1 0 0 1 36.0534453125005 34.2920429687483 39.0845703125019 2 2 2
48 0 0 0 12 8 8 1 0 0 1 33.2124726562507 35.0138554687501 36.0277148437514 3 3 3
39 0 1 0 2 5 5 1 0 0 0 11.234677734375 13.3640029296874 14.6035166015625 3 3 3
37 1 0 0 7 8 9 1 0 0 1 51.6062265624985 52.855828124998 54.2044804687485 2 2 2
36 1 0 0 9 6 8 1 0 0 1 83.6000000000006 57.2431367187519 50.0000000000008 2 3 3
38 1 0 0 5 9 5 0 0 1 1 79.9999999999985 105.999999999999 129.999999999997 3 2 2
44 0 0 0 6 5 5 1 0 0 0 21.016166015625 22.6153593749993 23.6280996093762 2 2 2
28 0 1 0 4 9 5 1 0 0 0 7.03576318359373 6.21604833984371 6.53944287109373 3 3 2
69 0 1 0 12 3 5 0 0 1 1 17.469658203125 19.9001757812499 19.3622500000001 2 2 2
60 0 1 0 6 9 6 0 0 1 1 18.7 19.0000000000001 16.9200000000001 3 3 3
40 0 0 0 3 1 2 0 0 1 0 16.2564345703126 15.7253271484375 16.8783691406249 2 3 3
58 1 0 0 6 5 4 1 0 0 0 4.985 6.45200000000001 9.95799609375004 3 3 3
53 1 0 0 3 4 6 0 0 1 1 45.0196250000019 48.4200742187486 55.6757499999997 2 2 2
60 1 0 0 12 12 12 1 0 0 1 10.1432001953125 25.4771484375 41.0725156250009 2 3 2
55 1 0 0 6 5 6 1 0 0 0 16.4 13.06 32.0000000000011 2 2 2
25 0 1 0 12 12 12 0 0 1 1 2.40000000000001 20.33586328125 25.7500000000004 3 3 3
27 1 0 0 9 9 5 0 0 1 0 3.72639013671875 31.4257070312495 51.5475468749997 2 2 2
64 0 1 0 3 3 2 0 0 0 1 15.4 18.139119140625 21.185251953125 2 2 2
70 1 0 0 6 5 3 0 0 0 0 36.3344843749985 38.1676015625016 40.1473281250001 2 2 2
29 0 0 0 1 1 3 0 0 1 0 11.7090068359374 12.00923828125 10.0191767578126 3 3 3
39 0 0 0 7 7 4 1 0 0 1 29.2499999999999 29.6463046875005 22.4963046875006 3 3 3
44 0 0 1 6 7 4 0 1 0 0 11.9635107421875 11.7235781250001 10.079328125 2 2 2
45 1 0 0 4 6 3 0 1 0 1 34.4934999999984 34.9570898437513 36.3838593749997 2 2 2
27 1 0 0 9 11 10 1 0 0 1 19.05781640625 21.7005917968749 24.8804492187496 2 2 2
26 0 0 0 9 8 10 0 0 1 0 10.1249931640625 21.408828125 25.2316250000005 2 2 2
21 0 0 0 8 4 6 0 0 1 1 5.59999999999999 8.77141308593753 15.0000000000001 2 2 1
72 1 0 0 12 9 8 0 1 0 0 19.0683515625 19.0363515624999 18.33264453125 3 3 3
57 1 0 0 6 7 6 1 0 0 1 50.0161562499979 39.7782343750018 43.6560273437491 3 2 2
50 1 0 0 6 6 8 1 0 0 0 4.37673193359374 22.4999999999997 37.6482695312514 2 2 2
26 1 0 0 12 12 7 0 0 1 1 53.4184765624996 56.9713632812514 60.4983867187495 2 2 2
23 1 0 0 4 7 3 0 0 1 1 8.68910546875004 12.9644404296875 24.8248261718755 3 3 3
50 0 0 0 6 6 6 1 0 0 1 67.1773671875025 72.5339531250013 48.8452500000008 2 2 3
47 0 1 0 6 3 3 1 0 0 0 10.957275390625 16.5258671875 21.046419921875 3 3 3
22 0 0 0 4 8 10 0 0 1 0 13.284 12.3963642578125 17.4447734375 2 2 3
20 0 0 0 3 10 8 0 0 1 1 6.57287500000002 0.0799999999999999 1.60029699707031 3 2 3
51 1 0 0 12 12 12 0 0 1 1 56.3866054687498 53.5166289062485 54.0551953125021 3 2 2
37 1 0 0 3 2 4 1 0 0 0 14.228021484375 5.75000000000002 18.8361777343749 1 2 1
33 1 0 0 6 10 6 1 0 0 1 18.08712109375 18.6143183593751 21.61662890625 2 2 2
31 1 0 0 8 8 6 1 0 0 0 32.9173203124988 34.7127031250003 37.5769062500018 2 3 3
47 1 0 0 2 3 5 1 0 0 0 8.81453125000001 10.3872001953125 18.73266796875 1 1 2
60 0 1 0 1 3 2 0 0 0 0 22.6314062499992 29.7279453124998 21.3460117187499 2 3 2
34 1 0 0 6 7 6 1 0 0 0 4.17289208984376 15.472171875 13.56996875 2 2 2
58 0 1 0 8 7 8 1 0 0 0 1.44479956054688 0.823253540039058 3.00905468750001 2 2 2
65 0 1 0 6 6 4 0 0 1 0 13.6757216796875 12.293685546875 15.3280400390625 3 2 2
76 0 0 1 9 6 1 0 0 0 1 8.49301367187502 9.90955078124997 9.42464550781247 3 3 2
41 0 1 0 3 5 6 1 0 0 1 27.9173222656237 29.9993925781257 35.0030859375002 3 3 2
56 1 0 0 12 3 4 1 0 0 1 45.7052421875006 27.7025410156238 29.6809062499997 3 3 3
68 0 1 0 1 3 6 1 0 0 0 27.949552734376 6.40074658203123 13.0799189453125 3 3 3
34 0 0 0 7 6 6 0 1 0 0 20.222109375 15.547408203125 20.0162714843751 2 2 2
32 0 0 0 9 7 7 0 0 1 0 15.9053701171875 16.38660546875 12.615384765625 2 2 2
63 0 0 0 2 1 1 1 0 0 1 13.2898388671876 31.404988281249 32.5294296875008 2 2 2
35 1 0 0 2 5 2 1 0 0 1 83.9216484375004 97.5459609375047 101.677835937498 3 2 3
38 1 0 0 5 4 3 1 0 0 1 44.7910000000017 47.4909999999993 47.1757968750011 2 2 2
35 0 1 0 3 12 8 1 0 0 1 26.0499999999997 27.5166953125011 23.5183632812511 2 2 2
37 0 1 0 9 6 9 1 0 0 1 47.0461445312512 48.2891249999997 49.3078554687497 2 2 2
58 0 1 0 3 3 3 1 0 0 1 17.134462890625 25.0770000000009 21.696 3 3 3
58 0 0 0 3 3 3 1 0 0 0 24.5072421875002 21.107912109375 21.3601074218749 2 3 3
30 0 1 0 7 9 10 0 0 1 1 22.3431875000011 23.776212890625 25.1512695312496 2 3 3
35 0 1 0 7 7 7 1 0 0 0 40.5150117187497 25.8675820312494 35.5994609374993 2 3 2
43 0 1 0 4 5 4 1 0 0 0 62.7755156250018 53.8948828124978 54.4334882812516 2 3 3
54 1 0 0 5 5 3 1 0 0 1 18.9537734375 16.6307734375001 19.0946191406249 3 2 3
55 0 1 0 3 5 3 1 0 0 0 16.4254999999999 16.71751953125 17.7145 3 2 2
65 0 0 0 4 1 5 1 0 0 0 1.99410717773438 3.91040869140625 3.23959692382812 3 3 3
65 0 0 1 2 6 2 1 0 0 1 12.9696455078125 14.1594296875 12.753029296875 3 3 3
59 0 0 0 4 4 3 1 0 0 1 16.7000000000001 18.55 21.46 2 2 2
59 0 1 0 3 8 10 1 0 0 0 2.05049999999999 4.44034277343749 1.8250301513672 3 3 3
34 0 1 0 12 6 9 0 0 1 1 34.517667968749 35.9251679687495 35.2512109374983 2 2 2
65 0 1 0 3 6 2 0 0 0 0 8.17006738281253 19.5913046874999 22.1147871093755 3 3 3
64 0 0 1 3 3 7 0 0 0 1 24.176443359376 10.5343359375 20.609736328125 2 2 2
32 0 1 0 1 2 4 1 0 0 0 8.33645703124999 9.60647070312501 6.15969335937498 2 2 2
30 0 1 0 8 4 5 1 0 0 1 25.3999999999993 26.4499999999988 31.4999999999992 2 2 2
77 1 0 0 3 1 8 1 0 0 1 5.45581787109373 4.78569531250001 5.39535253906249 3 3 2
71 1 0 0 4 2 2 0 0 0 0 15.881662109375 15.996322265625 16.9498789062501 3 3 3
31 1 0 0 4 3 3 1 0 0 0 21.0122460937499 23.1309023437495 26.2875429687505 3 3 3
50 1 0 0 5 4 4 1 0 0 1 39.1943203124984 45.7029101562513 48.4504374999999 2 2 2
52 0 0 0 1 2 3 1 0 0 0 11.9640498046875 12.8944599609376 9.40222949218752 3 3 3
30 0 1 0 9 4 7 0 0 1 1 27.9720000000012 28.066152343751 33.1235585937496 2 2 2
28 0 1 0 9 9 12 1 0 0 1 23.8090078125008 27.7690078124998 32.6127031249999 3 3 3
24 0 0 0 3 3 3 1 0 0 0 7.51499951171872 5.71689160156247 10.269783203125 3 3 2
31 1 0 0 12 12 10 1 0 0 0 32.4348730468737 35.0605078124993 33.929542968751 3 3 3
67 0 1 0 2 2 9 1 0 0 0 10.4708095703125 7.00960449218748 3.1167470703125 3 3 3
41 0 1 0 4 2 6 1 0 0 1 29.9511523437489 30.7998886718744 31.8129335937497 3 2 2
55 0 0 0 4 7 4 1 0 0 1 18.186 12.2714287109375 0.699999999999997 3 2 3
40 0 0 0 8 4 6 0 1 0 0 9.18362109374998 13.360771484375 12.1473437500001 3 3 2
22 0 0 1 9 12 12 0 0 1 1 12.57328515625 13.29291015625 18.1118515625 3 2 2
40 1 0 0 7 7 8 1 0 0 0 23.0756269531254 27.1546601562494 28.8785937500003 3 3 2
50 0 1 0 6 1 5 0 0 1 0 16.2870625 16.9055390624999 17.8277148437501 2 2 2
48 0 1 0 8 6 10 0 0 1 1 24.5527714843755 25.823619140626 26.2209667968761 2 2 2
64 0 1 0 3 4 2 1 0 0 1 19.5820000000001 20.594388671875 21.956626953125 3 3 3
33 0 1 0 3 8 5 1 0 0 1 25.0747265624991 31.3445488281264 27.7561621093736 2 2 2
35 0 0 0 3 4 4 1 0 0 0 11.31016015625 10.9911943359375 6.35885400390623 2 2 3
55 0 0 0 6 1 5 1 0 0 1 23.616628906249 19.21478125 21.61662890625 2 2 2
25 0 0 0 6 12 12 0 0 1 1 21.081703125 23.1537031249996 16.0005791015625 3 3 2
22 0 1 0 4 6 3 0 0 1 0 6.96055468749996 13.66628125 12.1001435546876 2 3 3
69 0 0 0 6 2 2 1 0 0 1 8.02428125000004 22.3461503906261 22.7082929687495 2 2 2
67 0 1 0 4 9 3 1 0 0 0 11.6099746093751 10.2666064453125 13.2839453125 3 2 2
27 1 0 0 5 3 4 1 0 0 1 28.7219414062502 24.5390878906261 33.4906562500008 3 3 3
55 1 0 0 3 2 3 0 0 1 1 32.1122402343761 32.0681289062485 34.2161679687496 2 2 3
39 1 0 0 9 6 9 1 0 0 1 44.5127031249987 23.0919160156242 85.9999999999961 2 2 2
37 1 0 0 3 4 4 1 0 0 0 13.2323642578125 14.7354667968751 15.1397626953125 2 2 2
45 0 0 0 1 3 2 0 1 0 0 21.3421562499999 21.412470703125 24.6189394531252 3 2 3
20 0 0 0 5 2 3 0 0 1 0 15.96027734375 15.7599169921875 12.5719248046875 3 3 3
41 0 1 0 3 6 5 1 0 0 1 24.9036640625011 27.5839238281244 30.4259589843748 2 2 2
39 0 0 0 5 4 4 1 0 0 0 1.38452087402344 8.35232031250001 8.02596826171879 2 3 3
54 0 1 0 10 12 9 1 0 0 1 10.42954296875 19.47190625 7.59915087890623 3 3 3
62 0 0 0 2 2 1 1 0 0 1 19.3862343750001 21.2353125000001 21.894671875 2 2 2
29 0 1 0 7 7 5 0 0 1 1 8.85958496093753 9.43809667968746 12.013357421875 2 2 1
26 1 0 0 7 4 6 0 0 1 0 23.5000000000012 24.4101308593753 32.2001308593754 2 1 2
56 0 1 0 9 6 9 1 0 0 1 21.3073906250001 21.2066855468751 23.177830078124 2 2 2
54 0 1 0 9 6 3 1 0 0 0 14.2346191406251 13.210162109375 16.8129335937499 2 2 2
29 1 0 0 9 8 4 1 0 0 0 33.1166484375014 14.4081953125 45.4753203124977 3 2 3
56 0 0 0 6 3 3 1 0 0 1 14.7495 14.41887109375 14.55537109375 3 3 3
53 0 1 0 2 1 5 1 0 0 0 10.7610507812499 9.78512792968746 11.29575390625 3 3 3
28 1 0 0 12 7 9 0 0 1 1 29.4101621093744 38.6972304687519 41.7196328125018 3 3 3
63 0 0 0 2 4 5 1 0 0 1 15.0170175781249 13.485 15.6287265625 2 2 2
57 0 0 0 5 1 5 1 0 0 0 1.9094688720703 1.48914550781251 1.45311779785156 2 2 3
67 0 0 0 7 5 8 1 0 0 1 19.6240742187499 20.2408476562499 19.2687031249999 3 3 2
30 0 0 0 7 9 8 1 0 0 0 1.34045678710938 4.81441308593751 2.77581518554689 2 2 2
61 0 1 0 12 12 4 0 0 1 1 2 12.9999999999999 20.0000000000001 3 3 3
73 0 0 1 8 8 5 1 0 0 1 8.97255078125004 9.74127539062498 7.40018896484371 3 2 2
46 0 0 0 6 12 12 1 0 0 1 20.6387675781249 18.3500000000001 18.501095703125 2 1 3
59 0 1 0 2 1 1 1 0 0 0 21 23.5000000000012 28.1108183593741 2 2 2
57 1 0 0 5 6 7 1 0 0 1 0.00120000004768372 0.00120000004768372 0.00120000004768372 3 2 2
28 1 0 0 6 5 3 0 0 1 1 14.0384619140625 23.841939453126 24.740423828126 3 3 3
25 1 0 0 7 7 6 0 0 1 0 16.55 18 20.6689941406251 2 2 2
47 0 1 0 5 5 7 0 1 0 0 25.3920937499994 26.3546601562502 26.7824492187512 2 3 2
89 0 0 0 2 3 6 1 0 0 1 17.3124335937501 16.65604296875 17.1042929687501 2 2 2
49 0 0 1 2 1 2 1 0 0 1 22.0690019531251 23.0500000000001 20.934369140625 3 3 3
45 1 0 0 2 1 3 1 0 0 1 30.3999999999996 21.4999999999999 19.1999999999999 2 2 2
40 0 1 0 2 1 9 1 0 0 0 7.55750585937499 15.46690234375 16.931158203125 2 3 2
57 0 0 0 1 2 2 1 0 0 0 3.00119995117187 0.00120000004768372 0.151199996948242 3 2 2
57 0 0 0 2 1 4 1 0 0 0 13.546419921875 14.18291015625 14.46067578125 2 2 2
26 0 1 0 6 7 7 1 0 0 0 16.425923828125 16.6997753906249 16.8 2 2 2
75 0 0 1 7 6 4 1 0 0 0 5.38715087890623 3.25811889648437 2.9290546875 3 3 3
73 0 1 0 2 2 1 1 0 0 1 9.32510644531248 9.79062402343753 5.51623779296875 3 3 3
71 0 0 0 5 5 8 1 0 0 1 17.29959375 9.01311816406251 5.3233017578125 3 3 3
59 0 0 1 12 9 10 1 0 0 1 20.335712890625 12.3458115234375 21.091177734375 3 3 3
56 0 0 1 5 2 4 1 0 0 0 7.47575048828121 8.607849609375 8.10623535156251 3 2 2
62 0 0 0 5 3 4 1 0 0 0 6.57749609375002 5.05281738281251 4.92484570312502 3 3 3
65 0 0 0 9 9 3 1 0 0 1 24.7404003906256 11.298580078125 8.20673242187496 3 3 3
30 0 1 0 4 9 10 1 0 0 0 0.995251770019535 3.21968212890625 2.92556396484376 3 3 3
28 1 0 0 4 9 8 1 0 0 1 16.787572265625 21.5623730468749 24.1385683593744 3 2 3
34 1 0 0 5 7 6 1 0 0 1 25.6897226562511 27.4671132812489 29.4306230468754 2 2 2
29 1 0 0 10 9 6 0 0 1 0 28.8519648437508 30.607390624999 27.3741757812488 2 3 2
35 0 0 0 3 1 4 1 0 0 0 6.16413964843749 12.6570791015625 13.4840820312501 2 2 2
53 1 0 0 2 3 6 1 0 0 1 28.126923828124 42.4307656250006 41.8493867187483 2 2 3
51 0 0 0 7 6 1 1 0 0 0 4.07106689453124 2.14329223632813 0.580050109863281 3 3 3
51 1 0 0 9 8 6 0 1 0 0 27.22894140625 31.2289414062489 30.774521484376 3 3 3
19 0 0 0 3 1 3 0 0 1 0 0.972857055664062 1.00351922607422 0.385369995117186 2 2 2
72 0 0 1 12 4 6 1 0 0 1 6.16513232421874 7.05288916015624 6.30187109375002 1 1 3
48 0 1 0 8 7 8 1 0 0 1 50.7069960937489 52.7958749999981 53.3592265625008 2 2 2
43 0 0 0 6 6 4 0 1 0 0 31.3300546875015 38.5237070312502 25.9075722656245 3 2 3
45 0 0 0 4 6 9 0 1 0 0 23.204451171874 19.6158964843749 23.4695312499988 3 2 3
19 0 0 0 11 10 12 0 0 1 0 3.18469165039063 0.06 2 3 3 2
38 1 0 0 4 3 4 1 0 0 1 47.1691132812496 48.4107851562512 46.8941210937503 2 3 3
37 0 1 0 3 3 2 1 0 0 0 2.74742065429688 5.28529980468748 5.462068359375 3 3 3
71 0 0 0 2 2 2 1 0 0 0 3.6818049316406 3.39807031250002 3.859595703125 3 3 3
42 0 0 0 4 5 3 0 0 1 1 22.5243085937502 22.3125761718747 21.9049785156249 3 3 3
41 1 0 0 5 4 6 1 0 0 0 6.26443164062496 4.05312890624999 2.86727148437499 2 2 2
68 0 0 0 3 6 3 1 0 0 1 7.34113085937499 7.44535449218748 6.51018017578123 2 2 3
67 0 0 1 3 5 2 1 0 0 0 2.15613647460938 2.40601953124999 2.10767626953126 3 3 3
58 0 0 0 1 1 4 0 0 1 0 6.58873242187501 6.36952490234377 10.4670390625 3 3 2
66 0 1 0 6 6 5 1 0 0 1 20.70816796875 30.4401699218745 22.778957031251 3 3 3
65 0 0 0 6 5 5 1 0 0 0 2.59336425781249 2.39611889648437 7.52120117187504 3 3 3
47 0 1 0 5 5 6 1 0 0 1 38.6757500000012 50.391222656249 39.3062343750017 3 3 3
34 0 0 0 5 7 8 1 0 0 0 4.5245712890625 1.95522619628906 2.25335546874999 2 2 3
